📊 [1/375] 104.17.167.134（延迟 42ms，带宽 1.30Mbps，评分 73.9） [舍弃理由: 速度低于阈值50Mbps]
📊 [2/375] 104.17.223.192（延迟 43ms，带宽 1.27Mbps，评分 73.8） [舍弃理由: 速度低于阈值50Mbps]
📊 [3/375] 104.17.162.133（延迟 43ms，带宽 1.23Mbps，评分 73.7） [舍弃理由: 速度低于阈值50Mbps]
📊 [4/375] 104.17.160.175（延迟 41ms，带宽 1.24Mbps，评分 73.7） [舍弃理由: 速度低于阈值50Mbps]
📊 [5/375] 172.64.147.239（延迟 36ms，带宽 1.18Mbps，评分 73.5） [舍弃理由: 速度低于阈值50Mbps]
📊 [6/375] 91.193.59.238（延迟 41ms，带宽 1.16Mbps，评分 73.5） [舍弃理由: 速度低于阈值50Mbps]
📊 [7/375] 104.16.153.13（延迟 39ms，带宽 1.09Mbps，评分 73.3） [舍弃理由: 速度低于阈值50Mbps]
📊 [8/375] 104.17.162.3（延迟 44ms，带宽 1.11Mbps，评分 73.3） [舍弃理由: 速度低于阈值50Mbps]
📊 [9/375] 104.16.254.4（延迟 44ms，带宽 1.05Mbps，评分 73.2） [舍弃理由: 速度低于阈值50Mbps]
📊 [10/375] 104.17.125.56（延迟 39ms，带宽 1.06Mbps，评分 73.2） [舍弃理由: 速度低于阈值50Mbps]
📊 [11/375] 91.193.58.238（延迟 41ms，带宽 1.07Mbps，评分 73.2） [舍弃理由: 速度低于阈值50Mbps]
📊 [12/375] 104.17.22.205（延迟 37ms，带宽 1.02Mbps，评分 73.1） [舍弃理由: 速度低于阈值50Mbps]
📊 [13/375] 104.18.33.23（延迟 39ms，带宽 1.02Mbps，评分 73.1） [舍弃理由: 速度低于阈值50Mbps]
📊 [14/375] 104.18.40.19（延迟 42ms，带宽 0.92Mbps，评分 72.8） [舍弃理由: 速度低于阈值50Mbps]
📊 [15/375] 104.19.159.74（延迟 39ms，带宽 0.91Mbps，评分 72.7） [舍弃理由: 速度低于阈值50Mbps]
📊 [16/375] 104.17.62.58（延迟 45ms，带宽 0.85Mbps，评分 72.5） [舍弃理由: 速度低于阈值50Mbps]
📊 [17/375] 91.110.209.106（延迟 38ms，带宽 0.79Mbps，评分 72.4） [舍弃理由: 速度低于阈值50Mbps]
📊 [18/375] 104.17.146.143（延迟 39ms，带宽 0.76Mbps，评分 72.3） [舍弃理由: 速度低于阈值50Mbps]
📊 [19/375] 104.18.33.168（延迟 37ms，带宽 0.77Mbps，评分 72.3） [舍弃理由: 速度低于阈值50Mbps]
